;;;;;;;;Rapport d'inventaire;;;;;;;;;;;;;;Date : 2026-07-09;
;;;;;;;;;;;;;;;;;;;;;;Page : 1/1;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
De;2026-06-01;;;À;;2026-07-09;;;;;Médicaments internes;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Nom;;Conc.;;;;;DIN;;;# Prod.;;Mfr;Qté Dist.;Qté Inv.;# Cont.;Coût;Total;;;DIN;upc;;Classe AHFS
JAMP VIT.B6;;25 MG;;;;;80002890;;;_;;JAMPPHARMA;112;374;92;0.02;7.22;;;80002890;622082280370;;Autres médicaments
JARDIANCE;;25 MG;;;;;2443945;;;_;;BO. ING.;1106;970;259;2.79;2 704.26;;;2443945;58341020584;;Autres médicaments
JARDIANCE;;10 MG;;;;;2443937;;;_;;BO. ING.;1225;136;312;2.79;379.15;;;2443937;58341020614;;Autres médicaments
KOMBOGLYZE;;2.5MG-1000MG;;;;;2389185;;;_;;ASTRA ZENE;84;53;112;1.35;71.68;;;2389185;620641014916;;Autres médicaments
LUXA-D;;2000 UI;;;;;2442256;;;_;;ORIMED;245;3859;358;0.07;284.02;;;2442256;622082291147;;Autres médicaments
LYRICA;;75 MG;;;;;2268434;;;_;;BGP PHARMA;196;73;118;1.67;122.17;;;2268434;621027410056;;Autres médicaments
LYRICA;;50MG;;;;;2268426;;;_;;BGP PHARMA;308;60;298;1.29;77.60;;;2268426;840149663182;;Autres médicaments
M B1;;50 MG;;;;;80054199;;;_;;MANTRA;168;695;16;0.07;51.64;;;80054199;629323090507;;Autres médicaments
M CAL;;500 MG;;;;;80055526;;;_;;MANTRA;9576;158;227;0.02;3.62;;;80055526;629323195004;;Autres médicaments
M CAL;;500 MG;;;;;80055526;;;_;;MANTRA;9576;302;228;0.02;6.92;;;80055526;629323195004;;Autres médicaments
M CAL D1000;;500MG-1000UI;;;;;80019536;;;_;;MANTRA;1071;39;252;0.13;4.99;;;80019536;629323140608;;Autres médicaments
M CAL D400 (BLEU FONCE);;500MG-400UI;;;;;80013329;;;_;;MANTRA;2156;218;230;0.13;27.88;;;80013329;629323110601;;Autres médicaments
M CAL D400 (BLEU FONCE);;500MG-400UI;;;;;80013329;;;_;;MANTRA;2156;250;231;0.13;31.98;;;80013329;629323110601;;Autres médicaments
MAR METHIMAZOLE;;5 MG;;;;;2480107;;;_;;MARCAN;0;140;342;0.16;22.81;;;2480107;697359005673;;Autres médicaments
MAR RANITIDINE;;150 MG;;;;;2443708;;;_;;MARCAN;471;2065;25;0.13;262.46;;;2443708;697359002634;;Autres médicaments
MEZAVANT;;1.2 G;;;;;2297558;;;_;;TAKEDA;336;166;165;1.66;275.15;;;2297558;354092476312;;Autres médicaments
MYLAN DIVALPROEX;;250 MG;;;;;2458934;;;_;;MYLAN;560;290;190;0.14;40.19;;;2458934;772927015107;;Autres médicaments
MYLAN DIVALPROEX;;500 MG;;;;;2459019;;;_;;MYLAN;1092;289;204;0.28;80.20;;;2459019;772927015121;;Autres médicaments
MYLAN DIVALPROEX;;125 MG;;;;;2458926;;;_;;MYLAN;350;297;273;0.08;22.90;;;2458926;772927015091;;Autres médicaments
MYLAN INDAPAMIDE;;1.25 MG;;;;;2240067;;;_;;MYLAN;646;122;394;0.08;9.67;;;2240067;772927004835;;Autres médicaments
MYLAN MIRTAZAPINE;;15 MG;;;;;2256096;;;_;;MYLAN;651;70;245;0.10;7.30;;;2256096;772927006853;;Autres médicaments
MYLAN NIFEDIPINE ER;;30 MG;;;;;2349167;;;_;;MYLAN;462;136;305;0.66;89.37;;;2349167;772927008789;;Autres médicaments
MYLAN NIFEDIPINE ER;;60 MG;;;;;2321149;;;_;;MYLAN;98;0;387;1.00;0.00;;;2321149;772927008772;;Autres médicaments
MYRBETRIQ;;25 MG;;;;;2402874;;;_;;ASTELLAS;154;67;171;1.56;104.19;;;2402874;623552601305;;Autres médicaments
MYRBETRIQ;;50 MG;;;;;2402882;;;_;;ASTELLAS;532;3;198;1.56;4.67;;;2402882;623552602302;;Autres médicaments
NESINA;;6.25 MG;;;;;2417189;;;_;;TAKEDA;0;48;123;2.24;107.38;;;2417189;663220625318;;Autres médicaments
ODAN BUPROPION SR;;150 MG;;;;;2275082;;;_;;ODAN;210;541;351;0.98;528.23;;;2275082;776097720304;;Autres médicaments
ONE ALPHA;;0.25 MCG;;;;;474517;;;_;;XEDITON;162;454;14;0.45;205.25;;;474517;999999999999;;Autres médicaments
ONE ALPHA;;1 MCG;;;;;474525;;;_;;XEDITON;98;184;361;1.35;249.06;;;474525;999999999999;;Autres médicaments
OPUS D;;400 UI;;;;;80039163;;;_;;OPUS;700;317;7;0.03;10.08;;;80039163;186789000063;;Autres médicaments
OPUS VIT.B1;;100 MG;;;;;80049780;;;_;;OPUS;1162;581;62;0.13;78.03;;;80049780;186789000155;;Autres médicaments
PDP AMANTADINE;;100 MG;;;;;1990403;;;_;;PENDOPHARM;238;76;389;0.56;42.56;;;1990403;625972020117;;Autres médicaments
PDP BENZTROPINE;;1 MG;;;;;706531;;;_;;PENDOPHARM;574;1669;74;0.06;95.30;;;706531;625972019746;;Autres médicaments
PERS. DOUL.ARTHRITIQUE;;650 MG;;;;;2371146;;;_;;COUTU;392;72;81;0.07;4.76;;;2371146;55989026213;;Autres médicaments
PMS AMITRIPTYLINE;;25 MG;;;;;654515;;;_;;PHMSCIENCE;602;116;100;0.06;7.18;;;654515;57606024947;;Autres médicaments
PMS AMITRIPTYLINE;;10 MG;;;;;654523;;;_;;PHMSCIENCE;835;433;166;0.03;13.90;;;654523;57606452320;;Autres médicaments
PMS AMLODIPINE;;2.5 MG;;;;;2295148;;;_;;PHMSCIENCE;2901;530;207;0.08;43.14;;;2295148;57606017130;;Autres médicaments
PMS ATENOLOL;;25 MG;;;;;2246581;;;_;;PHMSCIENCE;336;228;116;0.05;10.74;;;2246581;57606966483;;Autres médicaments
PMS ATENOLOL;;50 MG;;;;;2237600;;;_;;PHMSCIENCE;336;156;272;0.10;15.60;;;2237600;57606760029;;Autres médicaments
